"-- Please Select --","-- Vui lòng chọn --"
"None","không ai"
"You added %1 to your shopping cart.","Bạn đã thêm %1 vào giỏ hàng của bạn."
"Please select product(s).","Vui lòng chọn (các) sản phẩm."
"We can't add this item to your shopping cart right now.","Chúng tôi không thể thêm mục này vào giỏ hàng của bạn ngay bây giờ."
"Page not found.","Không tìm thấy trang."
"We can't specify a product.","Chúng tôi không thể chỉ định một sản phẩm."
"We can't add the item to Wish List right now: %1.","Chúng tôi không thể thêm các mục vào Wish List ngay bây giờ: %1."
"We can't add the item to Wish List right now.","Chúng tôi không thể thêm mục vào Wish List ngay bây giờ."
"Total price:","Tổng giá:"
"Add selected to cart","Thêm được chọn vào giỏ hàng"
"Add selected to wishlist","Thêm vào danh sách mong muốn"
"This item:","Vật phẩm này:"
"Out of stock","Hết hàng"
"Change","Thay đổi"
"Delete","Xóa bỏ"
"Compatible file extensions to upload","Tiện ích mở rộng tệp tương thích để tải lên"
"Maximum image width","Chiều rộng ảnh tối đa"
"px.","px."
"Maximum image height","Chiều cao ảnh tối đa"
"Maximum number of characters:","Số ký tự tối đa:"
"Quantity","Số lượng"
"Choose a selection...","Chọn một lựa chọn ..."
"No options of this product are available.","Không có tùy chọn nào cho sản phẩm này."
"sample","mẫu vật"
"Select all","Chọn tất cả"
"Unselect all","Bỏ chọn tất cả"
"Grouped product items","Nhóm sản phẩm"
"Product Name","tên sản phẩm"
"Qty","Số"
"Availability","khả dụng"
"Show details","Hiển thị chi tiết"
"Hide details","Ẩn chi tiết"
"Add all %s to Cart","Thêm tất cả %s vào giỏ hàng"
"Add all %s to Wishlist","Thêm tất cả %s vào Wishlist"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào yêu thích"
"Mageplaza Frequently Bought Together","Mageplaza thường mua với nhau"
"Frequently Bought Together","Thường xuyên mua Cùng"
"General Configuration","Cấu hình chung"
"Enable Frequently Bought Together","Bật thường xuyên mua hàng cùng nhau"
"Select Yes to enable this module.","Chọn Có để bật mô-đun này."
"Block Name","Tên khối"
"Enter the block’s name. E.g: Frequently bought together","Nhập tên của khối. Ví dụ: Thường mua với nhau"
"Number of products","Số lượng sản phẩm"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Nhập số lượng sản phẩm tối đa được hiển thị trong khối (Để trống hoặc 0 để hiển thị tất cả sản phẩm được đề xuất)."
"Enable Add to Wishlist Button","Bật Thêm vào nút Danh sách nhận xét"
"Select Yes to enable the Add to Wishlist button.","Chọn Có để bật nút Thêm vào danh sách ưa thích."
"Remove Native Related Products Block","Loại bỏ Khối Sản phẩm Liên quan Native"
"Select Yes to remove default related block.","Chọn Có để xóa khối liên quan mặc định."
"Separator Image","Hình phân cách"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Loại tập tin được phép: jpg, gif, png. Để trống để sử dụng dấu cách mặc định."
