"-- Please Select --","-- בבקשה תבחר --"
"None","אף אחד"
"You added %1 to your shopping cart.","הוספת %1 לעגלת הקניות שלך."
"Please select product(s).","בחר מוצר (ים)."
"We can't add this item to your shopping cart right now.","אין באפשרותנו להוסיף פריט זה לעגלת הקניות שלך כעת."
"Page not found.","הדף לא נמצא."
"We can't specify a product.","אין באפשרותנו לציין מוצר."
"We can't add the item to Wish List right now: %1.","אנחנו לא יכולים להוסיף את הפריט לרשימת המשאלות עכשיו: %1."
"We can't add the item to Wish List right now.","אנחנו לא יכולים להוסיף את הפריט לרשימת המשאלות עכשיו."
"Total price:","מחיר סופי:"
"Add selected to cart","הוסף לעגלה שנבחרה"
"Add selected to wishlist","הוסף שנבחרה לרשימת המשאלות"
"This item:","פריט זה:"
"Out of stock","אזל במלאי"
"Change","שינוי"
"Delete","לִמְחוֹק"
"Compatible file extensions to upload","סיומות קבצים תואמות להעלאה"
"Maximum image width","רוחב תמונה מקסימלי"
"px.","px."
"Maximum image height","גובה התמונה המרבי"
"Maximum number of characters:","מספר תווים מרבי:"
"Quantity","כַּמוּת"
"Choose a selection...","בחר בחירה ..."
"No options of this product are available.","אין אופציות למוצר זה זמינות."
"sample","לִטעוֹם"
"Select all","בחר הכל"
"Unselect all","בטל את הבחירה בכל"
"Grouped product items","פריטי מוצרים מקובצים"
"Product Name","שם מוצר"
"Qty","כמות"
"Availability","זמינות"
"Show details","הראה פרטים"
"Hide details","הסתר פרטים"
"Add all %s to Cart","הוסף את כל %s לעגלה"
"Add all %s to Wishlist","הוסף את כל %s לרשימת המשאלות"
"Add to Cart","הוסף לעגלה"
"Add to Wishlist","הוסף לרשימת משאלות"
"Mageplaza Frequently Bought Together","מגפלאזה נרכש לעתים קרובות יחד"
"Frequently Bought Together","לעתים קרובות קנה יחד"
"General Configuration","תצורה כללית"
"Enable Frequently Bought Together","אפשר לעתים קרובות קנו ביחד"
"Select Yes to enable this module.","בחר כן כדי להפעיל מודול זה."
"Block Name","שם החסימה"
"Enter the block’s name. E.g: Frequently bought together","הזן את שם החסימה. לדוגמה: לעתים קרובות קנה יחד"
"Number of products","מספר המוצרים"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","הזן את המספר המרבי של מוצרים המוצגים בבלוק (השאר ריק או 0 כדי להציג את כל המוצרים המוצעים)."
"Enable Add to Wishlist Button","הפעל לחצן Add to Wishlist"
"Select Yes to enable the Add to Wishlist button.","בחר כן כדי להפעיל את הלחצן Add to Wishlist."
"Remove Native Related Products Block","הסר מוצרים מקוריים"
"Select Yes to remove default related block.","בחר כן כדי להסיר בלוק ברירת מחדל הקשור."
"Separator Image","תמונה מפריד"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","סוגי קבצים מותרים: jpg, gif, png. השאר ריק כדי להשתמש במפריד ברירת המחדל."
