"The customer was redirected to their bank page to complete 3D authentication. On this scenario two things can happen:","The customer was redirected to their bank page to complete 3D authentication. On this scenario two things can happen:"
"- The customer completes the 3D check and the order status is updated.","- The customer completes the 3D check and the order status is updated."
"- The customer does not complete 3D and the message will still be visible. For example, the customer does not remember their pin code.","- The customer does not complete 3D and the message will still be visible. For example, the customer does not remember their pin code."
"If after a few minutes the customer does not complete the order, you can click the Sync from API link to query Opayo for the latest information on this transaction.","If after a few minutes the customer does not complete the order, you can click the Sync from API link to query Opayo for the latest information on this transaction."
Configure,Configure
Close,Close
"is an Opayo approved partner","is an Opayo approved partner"
"Get an Opayo Account Now!","Get an Opayo Account Now!"
"Need assistance? <a href=""mailto:sagepay@ebizmarts-desk.zendesk.com"">Submit a ticket</a>","Need assistance? <a href=""mailto:sagepay@ebizmarts-desk.zendesk.com"">Submit a ticket</a>"
"Email us","Email us"
"Subscribe to our newsletter","Subscribe to our newsletter"
"Please enter a valid phone number.","Please enter a valid phone number."
"Invalid response from Opayo","Invalid response from Opayo"
"Something went wrong: %1","Something went wrong: %1"
"Invalid FORM encrypted password.","Invalid FORM encrypted password."
"Can not create order","Can not create order"
"Unable to sync from API: Invalid order id.","Unable to sync from API: Invalid order id."
"Successfully synced from Opayo's API","Successfully synced from Opayo's API"
"You created the order, Opayo transaction succesfully authorised.","You created the order, Opayo transaction succesfully authorised."
"Unable to save Opayo order.","Unable to save Opayo order."
"Opayo Fraud","Opayo Fraud"
"Unable to delete token: Invalid token id.","Unable to delete token: Invalid token id."
"Token deleted successfully.","Token deleted successfully."
"Registered tokens in Opayo: %1","Registered tokens in Opayo: %1"
"Unable to check registered tokens in Opayo: %1","Unable to check registered tokens in Opayo: %1"
Reports,Reports
Opayo,Opayo
"Credit Card Tokens","Credit Card Tokens"
"Opayo Credit Card Tokens","Opayo Credit Card Tokens"
"My Saved Credit Cards","My Saved Credit Cards"
"Invalid response from Opayo.","Invalid response from Opayo."
"Invalid transaction id.","Invalid transaction id."
"Your payment was successful but the order was NOT created, please contact us: %1","Your payment was successful but the order was NOT created, please contact us: %1"
"Something went wrong, customer not logged in.","Something went wrong, customer not logged in."
"Something went wrong, order not available.","Something went wrong, order not available."
"Can not place PayPal orders: %1","Can not place PayPal orders: %1"
"Can not place PayPal order, please try another payment method","Can not place PayPal order, please try another payment method"
"Unable to find payment data.","Unable to find payment data."
"Invalid transaction id","Invalid transaction id"
"Unfortunately the order payment failed, please try again, with another payment method or ask the store for help.","Unfortunately the order payment failed, please try again, with another payment method or ask the store for help."
"Template file not found.","Template file not found."
"The provided challenge URL is not allowed: %1","The provided challenge URL is not allowed: %1"
"Try again or contact store support.","Try again or contact store support."
"Payment was not accepted, please try another payment method. Status: %1, %2","Payment was not accepted, please try another payment method. Status: %1, %2"
"Unable to find quote","Unable to find quote"
"Transaction cancelled by customer","Transaction cancelled by customer"
"Invalid VPS Signature","Invalid VPS Signature"
"An error ocurred.","An error ocurred."
error_message,error_message
"Can not save order. Please try another payment option.","Can not save order. Please try another payment option."
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Order placed on hold by high fraud risk setting.","Order placed on hold by high fraud risk setting."
"The email is null or empty.","The email is null or empty."
"Online MOTO transaction.","Online MOTO transaction."
"Online transaction.","Online transaction."
"A Phone field contains invalid characters.","A Phone field contains invalid characters."
"Information received from an invalid IP address.","Information received from an invalid IP address."
"Invalid signature. Please check Reporting API User and Password.","Invalid signature. Please check Reporting API User and Password."
"Transaction NOT found / Invalid transaction Id.","Transaction NOT found / Invalid transaction Id."
"Invalid Opayo API credentials.","Invalid Opayo API credentials."
"Invalid merchant authentication.","Invalid merchant authentication."
"Your Opayo API user/password is invalid or the user might be locked out.","Your Opayo API user/password is invalid or the user might be locked out."
"Order not completed until valid challenge response","Order not completed until valid challenge response"
"'Invalid 3D secure response. ' .","'Invalid 3D secure response. ' ."
"Not implemented.","Not implemented."
"Cannot capture deferred transaction, ' . . '.","Cannot capture deferred transaction, ' . . '."
"Cannot capture deferred transaction, transaction state is invalid.","Cannot capture deferred transaction, transaction state is invalid."
"Default: Use default MySagePay settings","Default: Use default MySagePay settings"
"Disable: Disable authentication and rules","Disable: Disable authentication and rules"
"Force: Apply authentication even if turned off","Force: Apply authentication even if turned off"
"Force & Ignore: Apply authentication but ignore rules","Force & Ignore: Apply authentication but ignore rules"
"Sage50 compatible","Sage50 compatible"
XML,XML
Disabled,Disabled
"15 minutes","15 minutes"
"30 minutes","30 minutes"
"45 minutes","45 minutes"
"Base Currency","Base Currency"
"Currency Switcher","Currency Switcher"
"Send customer and vendor emails","Send customer and vendor emails"
"Do not send either customer or vendor emails","Do not send either customer or vendor emails"
"Send vendor email but NOT the customer email","Send vendor email but NOT the customer email"
"Medium and high risk transactions","Medium and high risk transactions"
"High risk transactions only","High risk transactions only"
Test,Test
Live,Live
"Payment - Authorize and Capture","Payment - Authorize and Capture"
"Defer - Authorize Only","Defer - Authorize Only"
"Authenticate - Authenticate Only","Authenticate - Authenticate Only"
"Modal as a ""LightBox""","Modal as a ""LightBox"""
"Redirect to Opayo","Redirect to Opayo"
"250px x 400px","250px x 400px"
"390px x 400px","390px x 400px"
"500px x 600px","500px x 600px"
"600px x 400px","600px x 400px"
Fullscreen,Fullscreen
MD5,MD5
SHA-256,SHA-256
1,1
3,3
5,5
"Payment not found for this transaction.","Payment not found for this transaction."
"Unable to save Elavon order","Unable to save Elavon order"
"Error loading order.","Error loading order."
"Invalid order. Cant confirm payment.","Invalid order. Cant confirm payment."
"Transaction already exists.","Transaction already exists."
"There was an error refunding Opayo transaction %1: %2","There was an error refunding Opayo transaction %1: %2"
"Unable to VOID Opayo transaction %1: %2","Unable to VOID Opayo transaction %1: %2"
"Magento ecom transaction.","Magento ecom transaction."
"Something went wrong while generating the merchant session key.","Something went wrong while generating the merchant session key."
"Unable to get Elavon order payment","Unable to get Elavon order payment"
"Something went wrong, please try again or ask the store for help.","Something went wrong, please try again or ask the store for help."
"Something went wrong, please try again or ask the store for help. Error details: %1","Something went wrong, please try again or ask the store for help. Error details: %1"
"Invalid Elavon response. %1","Invalid Elavon response. %1"
"Can't process cancelled order","Can't process cancelled order"
