"-- Please Select --","-- Lütfen seçiniz --"
"None","Hiçbiri"
"You added %1 to your shopping cart.","%1i alışveriş sepetinize eklediniz."
"Please select product(s).","Lütfen ürün(ler) seçiniz."
"We can't add this item to your shopping cart right now.","Şu anda bu ürünü alışveriş sepetine ekleyemiyoruz."
"Page not found.","Sayfa bulunamadı."
"We can't specify a product.","Bir ürün belirleyemiyoruz."
"We can't add the item to Wish List right now: %1.","Talep listesine şu anda ürünü ekleyemiyoruz:%1."
"We can't add the item to Wish List right now.","Talep listesine şu anda ürünü ekleyemiyoruz."
"Total price:","Toplam ücret:"
"Add selected to cart","Seçilenleri sepete aktar"
"Add selected to wishlist","Seçilenleri istek listesine ekle"
"This item:","Bu öğe:"
"Out of stock","Stokta yok"
"Change","Değiştir"
"Delete","Sil"
"Compatible file extensions to upload","Yüklemek için uygun dosya uzantıları"
"Maximum image width","Maksimum görsel genişliği"
"px.","px."
"Maximum image height","Maksimum görsel yüksekliği"
"Maximum number of characters:","Maksimum karakter sayısı:"
"Quantity","Miktar"
"Choose a selection...","Bir seçimi seçin..."
"No options of this product are available.","Bu ürün için herhangi bir seçenek bulunmuyor."
"sample","örnek"
"Select all","Tümünü seç"
"Unselect all","Tüm seçimi kaldır"
"Grouped product items","Ürün öğeleri gruplandırıldı"
"Product Name","Ürün İsmi"
"Qty","Adet"
"Availability","Stok durumu"
"Show details","Detayları göster"
"Hide details","Detayları gizle"
"Add all %s to Cart","Tüm %s 'leri sepete ekle"
"Add all %s to Wishlist","Tüm %s 'leri İstek listesine ekle"
"Add to Cart","Sepete ekle"
"Add to Wishlist","İstek listesine ekle"
"Mageplaza Frequently Bought Together","Mageplaza Sıklıkla Birlikte Alınanlar"
"Frequently Bought Together","Sıklıkla Birlikte Alınanlar"
"General Configuration","Genel yapılandırma"
"Enable Frequently Bought Together","Sıklıkla Birlikte Alınanları etkinleştir"
"Select Yes to enable this module.","Bu modülü etkinleştirmek için Eveti seçin."
"Block Name","Blok adı"
"Enter the block’s name. E.g: Frequently bought together","Blok adı girin. Örneğin: Sıklıkla birlikte satın alınanlar"
"Number of products","Ürünlerin sayısı"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Blokta görüntülenecek maksimum ürün sayısını girin (Önerilen tüm ürünleri görüntülemek için boş bırakın veya 0 yazın)."
"Enable Add to Wishlist Button","İstek Listesine Ekle Butonunu etkinleştir"
"Select Yes to enable the Add to Wishlist button.","İstek Listesine Ekle düğmesini etkinleştirmek için Evet'i seçin."
"Remove Native Related Products Block","Yerel İlişkili Ürünler Öbeğinden Kaldır"
"Select Yes to remove default related block.","Varsayılan ilgili bloğu kaldırmak için Evet i seçin."
"Separator Image","Ayırıcı görseli"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","İzin verilen türler: jpg, gif, png. Varsayılan ayırıcıyı kullanmak için boş bırakın."
