"-- Please Select --","-- Пожалуйста выберите --"
"None","Никто"
"You added %1 to your shopping cart.","Вы добавили %1 в корзину."
"Please select product(s).","Выберите товар (ы)."
"We can't add this item to your shopping cart right now.","Мы не можем добавить этот товар в вашу корзину покупок прямо сейчас."
"Page not found.","Страница не найдена."
"We can't specify a product.","Мы не можем указать продукт."
"We can't add the item to Wish List right now: %1.","Мы не можем добавить товар в список желаний прямо сейчас: %1."
"We can't add the item to Wish List right now.","Мы не можем добавить товар в список желаний прямо сейчас."
"Total price:","Итоговая цена:"
"Add selected to cart","Добавить выбранный в корзину"
"Add selected to wishlist","Добавить выбранный список пожеланий"
"This item:","Эта вещь:"
"Out of stock","Нет на складе"
"Change","+ Изменить"
"Delete","Удалить"
"Compatible file extensions to upload","Совместимые расширения файлов для загрузки"
"Maximum image width","Максимальная ширина изображения"
"px.","гарнизонная лавка"
"Maximum image height","Максимальная высота изображения"
"Maximum number of characters:","Максимальное количество символов:"
"Quantity","Количество"
"Choose a selection...","Выберите выбор ..."
"No options of this product are available.","Нет доступных вариантов этого продукта."
"sample","образец"
"Select all","Выбрать все"
"Unselect all","Снять все"
"Grouped product items","Сгруппированные товарные позиции"
"Product Name","наименование товара"
"Qty","Кол-во"
"Availability","Доступность"
"Show details","Показать детали"
"Hide details","Скрыть детали"
"Add all %s to Cart","Добавить все %s в корзину"
"Add all %s to Wishlist","Добавить все %s в список желаний"
"Add to Cart","добавить в корзину"
"Add to Wishlist","Добавить в список желаний"
"Mageplaza Frequently Bought Together","Магеплаза часто покупается вместе"
"Frequently Bought Together","вместе с этим часто покупают"
"General Configuration","Общая конфигурация"
"Enable Frequently Bought Together","Включить часто покупаемые вместе"
"Select Yes to enable this module.","Выберите «Да», чтобы включить этот модуль."
"Block Name","Название блока"
"Enter the block’s name. E.g: Frequently bought together","Введите имя блока. Например: часто покупаются вместе"
"Number of products","Количество продуктов"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","Введите максимальное количество продуктов, отображаемых в блоке (Оставьте пустым или 0, чтобы отобразить все предлагаемые продукты)."
"Enable Add to Wishlist Button","Добавить в лист пожеланий"
"Select Yes to enable the Add to Wishlist button.","Выберите «Да», чтобы включить кнопку «Добавить в список пожеланий»."
"Remove Native Related Products Block","Удалить блок родственных продуктов"
"Select Yes to remove default related block.","Выберите «Да», чтобы удалить связанный по умолчанию блок."
"Separator Image","Изображение разделителя"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","Допустимые типы файлов: jpg, gif, png. Оставьте пустым, чтобы использовать разделитель по умолчанию."
