Yes,Sì
No,No
Configure,Configura
Close,Chiudi
"BRIPPO Payments (by <a target=""_blank"" href=""https://ebizmarts.com"">Ebizmarts</a>)","BRIPPO Payments (di <a target=""_blank"" href=""https://ebizmarts.com"">Ebizmarts</a>)"
"This solution is powered by <i>Stripe Connect</i>.","Questa soluzione è alimentata da <i>Stripe Connect</i>."
"Need support? <a href=""mailto:support@ebizmarts-desk.zendesk.com"">Submit a ticket</a>","Hai bisogno di supporto? <a href=""mailto:support@ebizmarts-desk.zendesk.com"">Invia un ticket</a>"
"Create Account","Crea Conto"
"Test Mode","Modalità Test"
Email,Email
"Store URL","URL del Negozio"
"By continuing, you agree to our <a href=""https://brippo.s3.amazonaws.com/agreements/Brippo_Customer_TCs.pdf"" target=""_blank"">Terms of Service</a>.","Continuando, accetti i nostri <a href=""https://brippo.s3.amazonaws.com/agreements/Brippo_Customer_TCs.pdf"" target=""_blank"">Termini di Servizio</a>."
Continue,Continua
"Authorization completed successfully.","Autorizzazione completata con successo."
"Notified customer about invoice creation #%1.","Cliente informato sulla creazione della fattura #%1."
"Order payment not found.","Pagamento dell'ordine non trovato."
"Invalid Payments Service response status ' . . '.","Stato di risposta del servizio pagamenti non valido ' . . '."
"Invalid URL provided from Platform Service.","URL non valido fornito dal servizio di piattaforma."
"Invalid Tokens provided from Platform Service during onboarding completion.","Token non validi forniti dal servizio di piattaforma durante il completamento dell'onboarding."
"Invalid response from Platform Service during onboarding completion.","Risposta non valida dal servizio di piattaforma durante il completamento dell'onboarding."
"Invalid Platform Service response status ' . . '.","Stato di risposta del servizio di piattaforma non valido ' . . '."
message,messaggio
"Invalid Platform Service response.","Risposta non valida dal servizio di piattaforma."
"Unknown event type","Tipo di evento sconosciuto"
"Event with ID %1 has already been processed.","Evento con ID %1 già elaborato."
Test,Test
Live,Live
"Capture failed. Invalid Payment Intent ID.","Cattura fallita. ID intento di pagamento non valido."
"Capture failed. Payment Intent status is status.","Cattura fallita. Lo stato dell'intento di pagamento è status."
"Online refund failed to process, please try again.","Rimborso online non riuscito, per favore riprova."
"Stripe Card Fingerprints not found for customer #' . . '.","Impronte della carta Stripe non trovate per il cliente #' . . '."
"Invalid Payments Service response status 400.","Stato di risposta del servizio pagamenti non valido 400."
Refunds,Rimborsi
"Payment Link ID","ID del link di pagamento"
"Payment Link Status","Stato del link di pagamento"
"Email Sent","Email Inviata"
"Charge ID","ID Ricarica"
"There is no charge associated with this payment intent.","Non c'è alcuna ricarica associata a questo intento di pagamento."
"Intent ID","ID Intento"
Status,Stato
Amount,Importo
Captured,Catturato
Refunded,Rimborsato
Error,Errore
"Frontend Source","Fonte Frontend"
Wallet,Portafoglio
"Card Brand","Marca della carta"
"Card Last 4","Ultimi 4 numeri della carta"
"Card Country","Paese della carta"
"Card Type","Tipo di carta"
"Fraud Risk","Rischio Frode"
"Street Check","Controllo Indirizzo"
"Zip Check","Controllo CAP"
"CVC Check","Controllo CVC"
"Account Id","ID di conto"
"Submitted Details","Dettagli Inviati"
"Charge Enabled","Ricarica Abilitata"
"Webhook Mapping","Mappatura Webhook"
Completed,Completato
Dashboard,Cruscotto
"Update Details","Aggiorna Dettagli"
"Are you sure you want to reset this connected account?","Sei sicuro di voler reimpostare questo account connesso?"
Mode,Modalità
"Live Account Status","Stato dell'conto Live"
"Test Account Status","Stato dell'conto di Test"
"Monitoring Cron","Monitoraggio Cron"
"Invalid discount code.","Codice sconto non valido."
"No shipping options available for your address.","Nessuna opzione di spedizione disponibile per il tuo indirizzo."
"'Unable to find order with id ' .","Impossibile trovare l'ordine con id ' ."
"Your cart is empty, please refresh the page and try again.","Il tuo carrello è vuoto, per favore ricarica la pagina e riprova."
"Unable to process the order. Please contact support.","Impossibile elaborare l'ordine. Contatta l'assistenza."
"Order Id not provided.","Id ordine non fornito."
"Order with id "" . . "" not found.","Ordine con id "" . . "" non trovato."
"Invalid payment intent provided.","Intento di pagamento non valido fornito."
"Were unable to process the order, please contact support","Non è stato possibile elaborare l'ordine, contatta l'assistenza"
"Capture failed. Payment Intent status is status.","Cattura fallita. Lo stato dell'intento di pagamento è status."
"""Unable to place Apple's Domain-Association-File. Please manually move "" . . "" to "" . . "". Create directory if necessary and make sure is publicly accessible at "" . . .","Impossibile posizionare il file di associazione di dominio di Apple. Sposta manualmente "" . . "" su "" . . "". Crea la directory se necessario e assicurati che sia accessibile pubblicamente su "" . . ."
"No recipient name provided.","Nessun nome del destinatario fornito."
"Grand Total","Totale finale"
Items,Prodotti
"'Tax' .","'Tassa' ."
Shipping,Spedizione
Discount,Sconto
Checkout,Checkout
Minicart,Mini-carrello
Cart,Carrello
"Product Page","Pagina del prodotto"
"Please check the billing address information. Invalid country code:","Controlla le informazioni sull'indirizzo di fatturazione. Codice paese non valido:"
"Please check the billing address information. Invalid region:","Controlla le informazioni sull'indirizzo di fatturazione. Regione non valida:"
