"-- Please Select --","-- 선택 해주세요 --"
"None","없음"
"You added %1 to your shopping cart.","장바구니에 %1 을 추가했습니다."
"Please select product(s).","제품을 선택하십시오."
"We can't add this item to your shopping cart right now.","지금이 항목을 장바구니에 추가 할 수 없습니다."
"Page not found.","페이지를 찾을 수 없습니다."
"We can't specify a product.","우리는 제품을 지정할 수 없습니다."
"We can't add the item to Wish List right now: %1.","지금 위시리스트에 아이템을 추가 할 수 없습니다 : %1."
"We can't add the item to Wish List right now.","지금은 위시리스트에 아이템을 추가 할 수 없습니다."
"Total price:","총 가격:"
"Add selected to cart","선택한 항목을 장바구니에 추가"
"Add selected to wishlist","위시리스트에 선택 추가"
"This item:","이 아이템:"
"Out of stock","품절"
"Change","변화"
"Delete","지우다"
"Compatible file extensions to upload","업로드 할 수있는 호환 가능한 파일 확장명"
"Maximum image width","최대 이미지 너비"
"px.","px."
"Maximum image height","최대 이미지 높이"
"Maximum number of characters:","최대 문자 수 :"
"Quantity","수량"
"Choose a selection...","선택 사항을 선택하십시오 ..."
"No options of this product are available.","이 제품의 옵션을 사용할 수 없습니다."
"sample","견본"
"Select all","모두 선택"
"Unselect all","모두 선택 해제"
"Grouped product items","그룹화 된 제품 항목"
"Product Name","상품명"
"Qty","수량"
"Availability","유효성"
"Show details","세부 정보 표시"
"Hide details","세부 정보 숨기기"
"Add all %s to Cart","모든 %s 을 장바구니에 추가"
"Add all %s to Wishlist","%s 을 위시리스트에 모두 추가하십시오"
"Add to Cart","장바구니에 담기"
"Add to Wishlist","희망 목록에 추가"
"Mageplaza Frequently Bought Together","Mageplaza는 자주 함께 구입 함"
"Frequently Bought Together","자주 함께 구입"
"General Configuration","일반 구성"
"Enable Frequently Bought Together","함께 자주 구매 가능으로 설정"
"Select Yes to enable this module.","이 모듈을 사용 가능하게하려면 예를 선택하십시오."
"Block Name","블록 이름"
"Enter the block’s name. E.g: Frequently bought together","블록의 이름을 입력하십시오. 예 : 함께 자주 구입 함"
"Number of products","제품 수"
"Enter the maximum number of products displayed in the block (Leave empty or 0 to display all suggested products).","블록에 표시되는 최대 제품 수를 입력하십시오 (비워 두거나 제안 된 모든 제품을 표시하려면 0)."
"Enable Add to Wishlist Button","위시리스트에 추가 버튼 활성화"
"Select Yes to enable the Add to Wishlist button.","위시리스트에 추가 버튼을 사용하려면 예를 선택하십시오."
"Remove Native Related Products Block","네이티브 관련 제품 제거"
"Select Yes to remove default related block.","기본 관련 블록을 제거하려면 예를 선택하십시오."
"Separator Image","구분 기호 이미지"
"Allowed file types: jpg, gif, png. Leave empty to use default separator.","허용되는 파일 형식은 jpg, gif, png입니다. 기본 구분 기호를 사용하려면 비워 두십시오."
